% Monthly E and C indices based on ERSST v3b following
% Takahashi et al. (2011, doi:10.1029/2011GL047364)
% (no smoothing is applied)
%
% yy  mm      E         C
1893  09  -0.439412  -2.05293
1893  10  -0.718323  -2.21716
1893  11  -0.383855  -2.05795
1893  12  -0.267619  -2.06751
1894  01  -0.495146  -1.66534
1894  02  -0.585921  -1.47771
1894  03  -0.446326  -1.57679
1894  04  -0.410903  -1.38599
1894  05  -0.399653  -1.29866
1894  06  -0.226468  -1.22106
1894  07  -0.0419533  -1.4738
1894  08  -0.232531  -1.47197
1894  09  -0.0927429  -1.67549
1894  10  -0.199484  -1.66079
1894  11  -0.48  -1.45668
1894  12  -0.440523  -1.19269
1895  01  -0.460954  -0.879749
1895  02  -0.568394  -0.676064
1895  03  -1.09087  -0.415045
1895  04  -0.303221  -0.75652
1895  05  -0.149679  -0.643138
1895  06  -0.097571  -0.587841
1895  07  0.125344  -0.651182
1895  08  0.534197  -0.740315
1895  09  0.487406  -0.64522
1895  10  0.366814  -0.372746
1895  11  0.448415  -0.393714
1895  12  0.518476  -0.481729
1896  01  0.241335  -0.451917
1896  02  0.0281067  -0.520609
1896  03  0.0460425  -0.302252
1896  04  0.169076  -0.397872
1896  05  -0.376659  -0.277969
1896  06  -0.0553126  -0.264363
1896  07  0.522813  -0.000495154
1896  08  1.31253  -0.0867476
1896  09  1.27927  -0.0646701
1896  10  1.24162  0.154913
1896  11  1.69883  0.504765
1896  12  2.04141  0.441007
1897  01  1.71707  0.426309
1897  02  1.28629  0.244084
1897  03  0.735305  0.0208254
1897  04  0.31218  -0.52893
1897  05  0.14764  -0.720428
1897  06  0.103191  -0.53856
1897  07  0.142528  -0.572227
1897  08  0.260098  -0.735537
1897  09  0.151149  -0.813679
1897  10  0.289365  -1.09757
1897  11  -0.102884  -1.32036
1897  12  -0.228451  -1.31877
1898  01  -0.240681  -0.830179
1898  02  -0.470707  -0.887055
1898  03  -0.541726  -1.16305
1898  04  -1.03117  -0.723764
1898  05  -1.02202  -0.631614
1898  06  -1.15631  -0.5839
1898  07  -0.336841  -1.1789
1898  08  -0.566374  -1.19632
1898  09  -0.644128  -0.981105
1898  10  -0.0402515  -1.31532
1898  11  -0.132063  -1.46077
1898  12  -0.440238  -1.39914
1899  01  -0.696427  -1.05984
1899  02  -0.746128  -0.925391
1899  03  -0.0882054  -1.17021
1899  04  0.224791  -1.09039
1899  05  0.473091  -0.591842
1899  06  0.366035  -0.575341
1899  07  0.639398  -0.262686
1899  08  1.14783  -0.422597
1899  09  1.5901  -0.276768
1899  10  1.5809  0.216216
1899  11  1.77877  0.514349
1899  12  1.04654  0.844658
1900  01  0.761193  0.890152
1900  02  0.543099  0.959613
1900  03  0.749775  0.468991
1900  04  0.567739  0.44256
1900  05  0.349187  0.37511
1900  06  0.40604  0.0502637
1900  07  0.488932  -0.101755
1900  08  0.368105  -0.552665
1900  09  0.128628  -0.699771
1900  10  0.0919705  -0.494266
1900  11  -0.12474  -0.415723
1900  12  -0.179067  -0.424568
1901  01  -0.440233  -0.0348195
1901  02  -0.790699  0.355212
1901  03  -0.873358  0.15485
1901  04  -0.478573  -0.251747
1901  05  -0.697307  -0.398056
1901  06  -0.970698  -0.490747
1901  07  -0.829154  -0.618567
1901  08  -0.71655  -0.66023
1901  09  -0.462159  -0.784134
1901  10  -0.126527  -0.887151
1901  11  0.299439  -0.741822
1901  12  0.309065  -0.700421
1902  01  0.092881  -0.447023
1902  02  -0.567236  -0.288168
1902  03  -0.483337  -0.22034
1902  04  0.159558  0.065319
1902  05  0.776214  0.132007
1902  06  0.962956  0.218006
1902  07  1.07376  0.531078
1902  08  1.15057  0.499717
1902  09  1.05027  0.499333
1902  10  1.04759  0.532313
1902  11  1.23145  0.605172
1902  12  0.809265  0.843831
1903  01  0.24167  1.11891
1903  02  -0.683953  1.41067
1903  03  -1.20484  1.33471
1903  04  -1.56206  1.08931
1903  05  -1.71247  0.652775
1903  06  -1.58285  0.0792232
1903  07  -1.14136  -0.457622
1903  08  -1.00971  -1.12589
1903  09  -0.864009  -1.37771
1903  10  -0.93822  -1.70475
1903  11  -1.04128  -1.75898
1903  12  -1.03332  -1.7919
1904  01  -0.438964  -1.97682
1904  02  -0.447879  -1.48082
1904  03  -0.903498  -0.790063
1904  04  -0.878806  -0.839492
1904  05  -0.0359745  -1.09921
1904  06  0.319873  -0.89312
1904  07  0.803445  -0.915129
1904  08  1.04413  -0.714953
1904  09  0.977087  -0.465032
1904  10  0.56932  -0.143156
1904  11  0.165894  0.421358
1904  12  0.0239162  0.573079
1905  01  -0.488521  1.29336
1905  02  -0.62173  1.15888
1905  03  -0.406395  0.777499
1905  04  0.574142  0.538602
1905  05  0.817391  0.779693
1905  06  0.790433  0.619098
1905  07  0.566666  1.01105
1905  08  0.542817  1.08049
1905  09  0.557034  1.08792
1905  10  0.66662  0.582345
1905  11  0.412991  0.681779
1905  12  0.417409  0.489788
1906  01  0.443124  0.250812
1906  02  0.241681  0.267789
1906  03  -0.290289  0.397332
1906  04  -0.83011  0.138142
1906  05  -1.2441  -0.0556161
1906  06  -1.4253  -0.224049
1906  07  -1.25266  -0.498799
1906  08  -1.27482  -0.61675
1906  09  -1.36962  -0.746752
1906  10  -1.37732  -0.859606
1906  11  -1.45491  -0.7983
1906  12  -1.46086  -0.766316
1907  01  -1.16372  -0.539209
1907  02  -0.774029  -1.00068
1907  03  -0.878915  -0.880309
1907  04  -0.917859  -0.709822
1907  05  -1.09441  -0.477493
1907  06  -1.28284  -0.296249
1907  07  -0.857019  -0.0901191
1907  08  -0.910195  0.414874
1907  09  -1.03658  0.196691
1907  10  -1.2594  0.227931
1907  11  -0.826295  -0.349239
1907  12  -1.18142  -0.163636
1908  01  -1.50372  0.546062
1908  02  -1.45306  0.197761
1908  03  -1.31291  -0.536148
1908  04  -1.47396  -0.787124
1908  05  -1.21316  -1.15996
1908  06  -1.10954  -1.43894
1908  07  -0.9458  -1.39481
1908  08  -0.828435  -1.58908
1908  09  -0.545615  -1.784
1908  10  -0.666239  -1.76977
1908  11  -0.757745  -1.7849
1908  12  -0.723894  -2.08328
1909  01  -1.16286  -2.01824
1909  02  -1.34294  -1.73461
1909  03  -0.975408  -1.412
1909  04  -1.0514  -1.41613
1909  05  -1.06985  -1.28898
1909  06  -1.01199  -1.39967
1909  07  -0.814892  -1.63819
1909  08  -0.974953  -1.69572
1909  09  -0.932845  -2.30184
1909  10  -1.12465  -2.31804
1909  11  -1.91529  -1.98127
1909  12  -1.85389  -1.90984
1910  01  -0.923495  -2.15763
1910  02  -0.400516  -2.38868
1910  03  -1.57439  -2.12239
1910  04  -1.85952  -1.91354
1910  05  -1.52265  -1.50963
1910  06  -1.10163  -1.5252
1910  07  -0.754415  -1.80151
1910  08  -0.325504  -2.13163
1910  09  -0.202382  -2.28892
1910  10  -0.184318  -2.51666
1910  11  -0.50961  -2.38568
1910  12  -0.731668  -1.95783
1911  01  -0.793985  -1.67681
1911  02  -1.48597  -0.992973
1911  03  -1.7987  -0.733764
1911  04  -1.43414  -0.929002
1911  05  -0.872654  -0.941683
1911  06  0.149477  -0.828746
1911  07  0.206636  -0.717963
1911  08  0.394908  -0.622239
1911  09  0.69469  -0.548287
1911  10  0.878935  0.0375779
1911  11  1.00668  0.0519522
1911  12  1.14815  0.112246
1912  01  0.965416  0.432312
1912  02  0.681402  0.484715
1912  03  0.375091  0.353035
1912  04  0.160731  0.0979696
1912  05  -0.554298  0.0844236
1912  06  -0.864662  -0.129001
1912  07  -0.701636  -0.492734
1912  08  -0.559331  -0.538765
1912  09  -0.302641  -1.0462
1912  10  -0.524056  -1.11605
1912  11  -0.928473  -0.966391
1912  12  -0.790338  -1.00644
1913  01  -0.220962  -0.890201
1913  02  -0.0747267  -0.861393
1913  03  -0.307548  -0.882491
1913  04  -0.700463  -0.446578
1913  05  -0.510729  -0.745762
1913  06  -0.0951677  -0.969556
1913  07  0.0603205  -0.911183
1913  08  0.186302  -0.813545
1913  09  0.160588  -0.84174
1913  10  0.280451  -0.974248
1913  11  0.342452  -0.383077
1913  12  0.47621  0.180208
1914  01  0.520147  0.433995
1914  02  -0.0318151  0.265168
1914  03  -0.266428  0.282038
1914  04  -0.600236  0.197991
1914  05  -0.891499  0.243647
1914  06  -0.712191  -0.0907201
1914  07  -0.21861  -0.00441895
1914  08  -0.185401  0.263277
1914  09  -0.113088  0.623121
1914  10  0.172852  0.612481
1914  11  0.183224  0.72381
1914  12  0.276661  0.790396
1915  01  -0.181318  0.776602
1915  02  -0.367017  0.847681
1915  03  -0.252581  0.434609
1915  04  -0.41113  0.870706
1915  05  -0.0682943  0.554789
1915  06  0.0379697  0.288759
1915  07  0.114845  -1.08518
1915  08  -0.00472927  -1.11032
1915  09  -0.100468  -1.04089
1915  10  -0.361853  -1.22968
1915  11  -0.765649  -1.48775
1915  12  -1.17543  -1.53366
1916  01  -0.836129  -0.929801
1916  02  -0.796153  -0.989758
1916  03  -0.738875  -0.75779
1916  04  -1.03486  -0.961988
1916  05  -1.08683  -0.438542
1916  06  -1.68612  -0.831184
1916  07  -2.05846  -0.798517
1916  08  -2.02337  -1.12318
1916  09  -1.42251  -1.5124
1916  10  -1.59115  -1.99601
1916  11  -1.43474  -2.78909
1916  12  -1.36359  -2.54244
1917  01  -1.4321  -2.00022
1917  02  -1.04047  -2.11372
1917  03  -0.0675911  -2.1318
1917  04  0.221054  -2.59496
1917  05  0.496481  -2.66409
1917  06  0.699583  -2.87527
1917  07  1.09435  -3.0237
1917  08  0.395741  -2.47657
1917  09  -0.653309  -1.8115
1917  10  -0.581472  -2.48936
1917  11  -1.22685  -2.05432
1917  12  -1.51794  -1.78683
1918  01  -1.26263  -0.86092
1918  02  -1.5506  0.067351
1918  03  -0.663191  -1.071
1918  04  -0.330194  -1.11765
1918  05  0.546194  -1.22347
1918  06  0.924646  -0.757702
1918  07  1.03593  -0.677792
1918  08  1.55735  -0.774766
1918  09  1.21645  -0.443143
1918  10  1.26906  0.0403958
1918  11  2.01534  -0.288606
1918  12  0.985845  -0.0448462
1919  01  0.815796  0.0332333
1919  02  0.818606  -0.0507056
1919  03  1.28871  -0.672014
1919  04  0.553568  -0.301994
1919  05  -0.111762  -0.118077
1919  06  -0.611477  -0.194755
1919  07  -0.407725  0.0496148
1919  08  -0.713076  -0.418748
1919  09  -0.539065  -0.231732
1919  10  -0.209739  -0.271667
1919  11  -0.434874  0.160122
1919  12  -0.0413712  -0.129755
1920  01  0.0869245  -0.446145
1920  02  0.19424  -0.14225
1920  03  -0.22417  -0.0620656
1920  04  -0.327212  -0.0169648
1920  05  -0.542503  -0.2558
1920  06  -0.829497  0.596479
1920  07  -1.0376  0.32132
1920  08  -0.834623  0.273717
1920  09  -0.913587  -0.304533
1920  10  -1.27588  -0.602722
1920  11  -0.756283  -1.23624
1920  12  -0.475915  -1.28994
1921  01  -0.621911  -1.02828
1921  02  -0.645916  -1.43596
1921  03  -1.21826  -1.70356
1921  04  -1.32336  -1.80737
1921  05  -0.735942  -1.59964
1921  06  -0.385157  -1.51351
1921  07  -0.0943075  -0.975047
1921  08  -0.168875  -0.319097
1921  09  -0.466855  -0.16471
1921  10  -0.0882621  -0.433433
1921  11  -0.446902  -0.892826
1921  12  -1.53106  -0.513818
