% Monthly E and C indices based on ERSST v3b following
% Takahashi et al. (2011, doi:10.1029/2011GL047364)
% (no smoothing is applied)
%
% yy  mm      E         C
1948  12  -1.26021  0.193871
1949  01  -1.00989  0.27639
1949  02  -0.3231  -0.374245
1949  03  -0.0610621  -0.581935
1949  04  0.109243  -0.414167
1949  05  -0.709259  -0.462311
1949  06  -0.785378  -0.850135
1949  07  -1.37476  -0.528544
1949  08  -1.07802  -0.635669
1949  09  -1.38774  -0.758536
1949  10  -1.47556  -1.29865
1949  11  -1.26116  -1.66475
1949  12  -0.832065  -2.05296
1950  01  -1.31381  -1.67253
1950  02  -1.26612  -1.40329
1950  03  -0.19952  -1.72281
1950  04  -0.533964  -1.6547
1950  05  -0.718312  -1.91511
1950  06  -0.868599  -1.28614
1950  07  -0.659963  -1.20551
1950  08  -0.174312  -1.42367
1950  09  -0.332284  -1.50887
1950  10  -0.220169  -1.58501
1950  11  -0.815317  -1.69296
1950  12  -0.48903  -1.71804
1951  01  -0.031269  -1.52588
1951  02  -0.168023  -1.37522
1951  03  -0.499516  -0.441974
1951  04  -0.237868  -0.250545
1951  05  -0.210652  0.0765382
1951  06  0.848977  -0.583034
1951  07  1.42149  -0.124909
1951  08  1.11431  -0.23642
1951  09  0.67477  0.00161856
1951  10  0.890667  0.0479452
1951  11  0.951403  0.289347
1951  12  0.496453  0.146499
1952  01  -0.0298747  0.216674
1952  02  0.142057  -0.15103
1952  03  0.0343213  -0.0448634
1952  04  -0.584778  0.450728
1952  05  -0.651724  0.314698
1952  06  -0.721213  -0.224882
1952  07  -0.720194  -0.459029
1952  08  -0.556111  -0.486677
1952  09  -1.03989  0.0784141
1952  10  -0.486749  -0.450123
1952  11  -0.885071  -0.337113
1952  12  -0.531969  -0.201053
1953  01  -0.352544  0.251345
1953  02  0.211723  0.180967
1953  03  0.747497  -0.253733
1953  04  0.890536  -0.0354869
1953  05  0.499732  0.0545315
1953  06  0.105271  0.382749
1953  07  8.26252e-05  0.281518
1953  08  0.0248717  0.240552
1953  09  0.316965  -0.0723191
1953  10  -0.231788  0.225296
1953  11  -0.185092  0.299501
1953  12  -0.266252  0.452169
1954  01  -0.960799  0.671609
1954  02  -0.783529  0.520623
1954  03  -0.696701  -0.0417231
1954  04  -2.2228  -0.191237
1954  05  -2.24095  -0.0687453
1954  06  -1.98523  -0.217272
1954  07  -1.71924  -0.602557
1954  08  -1.25964  -1.08202
1954  09  -1.3293  -1.33286
1954  10  -1.35086  -1.37796
1954  11  -1.03821  -1.33027
1954  12  -1.41392  -1.19134
1955  01  -0.700152  -1.03235
1955  02  -0.496084  -1.09258
1955  03  -0.669553  -1.07255
1955  04  -0.994253  -1.07196
1955  05  -1.75568  -0.941205
1955  06  -1.5911  -0.891623
1955  07  -1.22379  -0.841919
1955  08  -1.06528  -1.33408
1955  09  -1.28415  -1.43983
1955  10  -1.49873  -2.31768
1955  11  -1.31559  -2.82793
1955  12  -1.56227  -2.06762
1956  01  -0.920992  -1.48322
1956  02  -0.615503  -0.984778
1956  03  -0.0360879  -1.06675
1956  04  -0.193787  -1.08698
1956  05  -0.729316  -0.78976
1956  06  -0.723881  -0.811303
1956  07  -0.392518  -1.32968
1956  08  -0.194719  -1.6429
1956  09  -0.577854  -1.44385
1956  10  -0.975836  -1.16743
1956  11  -1.09728  -1.03591
1956  12  -1.37021  -0.66562
1957  01  -1.26189  -0.0841349
1957  02  -0.188963  -0.166386
1957  03  0.609813  -0.0242653
1957  04  0.559468  0.35837
1957  05  1.09696  0.212516
1957  06  1.4027  -0.180136
1957  07  1.77684  -0.0227153
1957  08  1.08263  0.432989
1957  09  0.654932  0.438209
1957  10  0.376798  0.605482
1957  11  0.697354  0.829167
1957  12  0.669059  1.20488
1958  01  -0.0111819  2.02829
1958  02  -0.163877  2.07398
1958  03  -0.0609166  1.36015
1958  04  0.150893  0.802095
1958  05  -0.0674017  0.668849
1958  06  -0.0918217  0.577795
1958  07  -0.0519073  0.271644
1958  08  -0.210966  0.0152181
1958  09  -0.339388  -0.250928
1958  10  -0.471147  0.102637
1958  11  -0.508534  0.52257
1958  12  -0.748031  0.570631
1959  01  -0.783409  1.04601
1959  02  -0.464316  0.740923
1959  03  -0.166408  0.468693
1959  04  -0.186652  0.482328
1959  05  -0.443215  0.190305
1959  06  -0.348766  -0.420266
1959  07  -0.446373  -0.702172
1959  08  -0.820662  -0.340922
1959  09  -0.48682  -0.54689
1959  10  -0.218755  -0.511333
1959  11  0.0211462  -0.747178
1959  12  -0.207956  -0.554733
1960  01  0.0496742  -0.70168
1960  02  -0.132176  -0.843872
1960  03  -0.125725  -0.638695
1960  04  -0.455973  -0.331288
1960  05  -0.591778  -0.278764
1960  06  -0.776709  -0.37795
1960  07  -0.639858  -0.262418
1960  08  -0.438538  -0.239789
1960  09  -0.0803728  -0.513318
1960  10  -0.851501  -0.435628
1960  11  -1.01967  -0.324323
1960  12  -0.68219  -0.137769
1961  01  -0.386952  -0.301273
1961  02  0.343036  -0.548561
1961  03  -0.258016  -0.444522
1961  04  0.121381  -0.558828
1961  05  -0.349219  -0.219289
1961  06  -0.521787  -0.0456507
1961  07  -1.31771  -0.122591
1961  08  -1.04737  -0.581112
1961  09  -1.40025  -0.692319
1961  10  -1.13835  -0.787784
1961  11  -0.765356  -0.577563
1961  12  -0.62129  -0.609229
1962  01  -0.336341  -0.759099
1962  02  -0.323278  -0.612873
1962  03  -1.35632  -0.109751
1962  04  -1.64194  -0.0501994
1962  05  -0.998468  -0.610708
1962  06  -0.959927  -0.5237
1962  07  -0.812587  -0.469637
1962  08  -0.451961  -0.613088
1962  09  -0.587369  -0.944544
1962  10  -0.671141  -1.00523
1962  11  -0.763094  -0.966806
1962  12  -1.02559  -0.958455
1963  01  -0.515425  -0.837217
1963  02  -0.670587  -0.329821
1963  03  -0.444815  -0.015376
1963  04  -0.527387  0.223369
1963  05  -0.184018  -0.323061
1963  06  -0.100251  -0.224238
1963  07  0.112375  0.344457
1963  08  0.10561  0.637437
1963  09  -0.135152  0.664896
1963  10  -0.180239  0.876008
1963  11  -0.193691  1.04065
1963  12  -0.151241  0.9508
1964  01  -0.521971  1.00463
1964  02  -0.953637  0.814594
1964  03  -0.923702  0.0359305
1964  04  -1.29408  -0.323369
1964  05  -2.31649  -0.186286
1964  06  -1.43997  -0.870319
1964  07  -0.990738  -0.922721
1964  08  -1.14097  -1.34475
1964  09  -0.349357  -1.94706
1964  10  -0.471909  -1.8285
1964  11  -0.235526  -1.94475
1964  12  -0.85414  -1.71432
1965  01  -0.423011  -1.09506
1965  02  -0.0741219  -0.612846
1965  03  0.198931  -0.495322
1965  04  1.05073  -0.830511
1965  05  1.21055  -0.405782
1965  06  0.979549  0.121746
1965  07  0.868345  0.495853
1965  08  0.951318  0.780793
1965  09  0.43486  0.943044
1965  10  0.320744  1.33089
1965  11  0.622526  1.30165
1965  12  0.585989  1.20909
1966  01  0.424813  1.15305
1966  02  -0.426363  1.28131
1966  03  -1.44212  1.87162
1966  04  -1.32716  1.2714
1966  05  -1.80657  0.768402
1966  06  -1.46997  0.817266
1966  07  -1.23072  0.767565
1966  08  -1.0821  0.264039
1966  09  -1.23905  0.118443
1966  10  -0.940251  -0.00469436
1966  11  -1.33453  0.203644
1966  12  -1.19791  -0.215079
1967  01  -0.759735  -0.420018
1967  02  -0.282182  -0.620916
1967  03  -0.875739  -0.377643
1967  04  -1.15147  -0.192496
1967  05  -0.869044  0.0905305
1967  06  -0.82668  0.186032
1967  07  -0.923067  0.129206
1967  08  -1.34165  -0.0714028
1967  09  -1.80726  -0.350783
1967  10  -1.776  -0.225798
1967  11  -1.78951  0.059708
1967  12  -1.78255  -0.0402961
1968  01  -1.71255  -0.269209
1968  02  -1.71709  -0.277558
1968  03  -1.61307  -0.365221
1968  04  -1.39683  -0.176968
1968  05  -1.51582  -0.322003
1968  06  -1.22647  0.432589
1968  07  -0.273285  0.141099
1968  08  -0.159802  0.052439
1968  09  -0.0314257  -0.155934
1968  10  -0.258025  0.179314
1968  11  -0.638946  0.965594
1968  12  -0.34511  1.08418
1969  01  -0.619475  1.64153
1969  02  -1.1972  2.15022
1969  03  -0.141558  1.09798
1969  04  0.266464  0.674216
1969  05  0.923095  0.348195
1969  06  0.771174  0.0423847
1969  07  0.273692  -0.122638
1969  08  -0.0951121  0.317409
1969  09  -0.15384  0.667893
1969  10  0.276586  0.646863
1969  11  0.363481  0.57885
1969  12  0.587119  0.405253
1970  01  0.395447  0.428911
1970  02  -0.472631  0.629775
1970  03  -0.834017  0.425217
1970  04  -0.797182  0.498865
1970  05  -1.47692  0.450647
1970  06  -1.85664  0.120001
1970  07  -2.26584  -0.00162872
1970  08  -1.71488  -0.684664
1970  09  -0.995343  -1.19332
1970  10  -0.823016  -1.4061
1970  11  -1.17296  -1.17805
1970  12  -0.752983  -1.6699
1971  01  -0.701651  -2.02784
1971  02  -1.02376  -1.62424
1971  03  -0.725833  -1.45362
1971  04  -0.397837  -1.30211
1971  05  -0.769351  -1.06852
1971  06  -1.07791  -1.0168
1971  07  -0.596115  -1.23596
1971  08  -0.953502  -1.263
1971  09  -0.781469  -1.39474
1971  10  -1.03228  -1.44797
1971  11  -0.834843  -1.31958
1971  12  -1.18821  -1.0969
1972  01  -0.210905  -0.898725
1972  02  -0.0130297  -0.386483
1972  03  -0.0351295  -0.0420025
1972  04  0.038292  0.386779
1972  05  0.199597  0.541752
1972  06  1.00676  0.320759
1972  07  1.67552  0.385435
1972  08  2.14545  0.334552
1972  09  1.28233  0.7523
1972  10  1.29429  1.25313
1972  11  1.43273  1.41023
1972  12  1.8163  1.42604
1973  01  1.2072  1.40992
1973  02  0.120727  1.2091
1973  03  -0.216456  0.593905
1973  04  -0.72764  -0.0644151
1973  05  -0.962515  -0.582642
1973  06  -1.19761  -0.727754
1973  07  -0.954747  -1.27194
1973  08  -0.977998  -1.58562
1973  09  -0.79107  -1.87767
1973  10  -0.632847  -2.23045
1973  11  -0.302497  -2.88071
1973  12  -0.457488  -2.96982
1974  01  -0.636652  -2.60568
1974  02  -0.556904  -1.94632
1974  03  -0.274204  -1.64975
1974  04  0.0765389  -1.55744
1974  05  0.14348  -1.52061
1974  06  -0.199879  -1.32518
1974  07  0.101469  -1.40682
1974  08  -0.0371808  -0.98977
1974  09  -0.250192  -1.19899
1974  10  -0.6005  -1.35002
1974  11  -0.613076  -1.42468
1974  12  -0.909265  -1.12486
1975  01  -0.601819  -0.42875
1975  02  -1.01689  -0.242052
1975  03  -0.300957  -0.968665
1975  04  0.129241  -1.16562
1975  05  -0.399842  -1.35315
1975  06  -0.714366  -1.66735
1975  07  -0.329547  -1.85783
1975  08  -0.156169  -2.14091
1975  09  -0.375546  -2.53795
1975  10  -0.619354  -2.69846
1975  11  -0.833019  -2.35292
1975  12  -1.13274  -2.36353
1976  01  -0.827931  -2.25472
1976  02  -0.4904  -1.52228
1976  03  -0.439536  -0.925756
1976  04  -0.0212964  -0.974317
1976  05  0.478204  -0.993835
1976  06  1.31287  -1.02845
1976  07  1.30852  -0.772159
1976  08  1.1497  -0.53281
1976  09  0.982902  -0.245021
1976  10  0.754188  0.281964
1976  11  0.444036  0.484624
1976  12  0.535262  -0.0230537
1977  01  0.612306  0.334865
1977  02  0.22605  0.195918
1977  03  -0.0221665  0.181894
1977  04  -0.519691  -0.0912217
1977  05  -0.414638  0.0698004
1977  06  -0.374226  0.311721
1977  07  -0.543261  0.554209
1977  08  -0.978498  0.454347
1977  09  -1.07433  0.856495
1977  10  -0.612167  0.80959
1977  11  -0.600875  0.875629
1977  12  -0.69238  1.03442
1978  01  -0.612837  1.04664
1978  02  -0.55428  0.662362
1978  03  -0.840653  0.249882
1978  04  -0.885658  -0.256399
1978  05  -1.41201  -0.0280919
1978  06  -1.20229  -0.214348
1978  07  -0.719216  -0.576901
1978  08  -0.993408  -0.518496
1978  09  -0.832638  -0.445974
1978  10  -0.630735  -0.304522
1978  11  -0.180502  -0.349069
1978  12  0.0878555  -0.303217
1979  01  -0.307989  0.0524707
1979  02  -0.436668  0.0189699
1979  03  -0.382598  0.268431
1979  04  0.00835713  0.0675815
1979  05  0.218156  -0.198818
1979  06  0.113678  -0.181533
1979  07  -0.0737704  -0.287493
1979  08  0.295445  -0.421581
1979  09  0.537107  -0.0322284
1979  10  0.429114  0.0391997
1979  11  0.177536  0.293934
1979  12  -0.0697746  0.516835
1980  01  -0.308631  0.846621
1980  02  -0.634056  0.783109
1980  03  -0.55219  0.514562
1980  04  -0.462444  0.377432
1980  05  -0.33785  0.363137
1980  06  -0.330227  0.586332
1980  07  -0.711671  0.456949
1980  08  -0.294189  -0.284644
1980  09  -0.170121  -0.265219
1980  10  -0.6649  -0.0840035
1980  11  -0.338006  -0.0102424
1980  12  -0.365708  -0.046318
1981  01  -1.3312  0.0158592
1981  02  -1.07069  -0.23193
1981  03  -0.431558  -0.341991
1981  04  -0.374029  -0.502532
1981  05  -0.290326  -0.733554
1981  06  -0.245548  -0.637014
1981  07  -0.317542  -0.831715
1981  08  -0.629051  -0.773112
1981  09  -0.327785  -0.489061
1981  10  -0.234558  -0.370139
1981  11  -0.401175  -0.332984
1981  12  -0.183251  -0.147707
1982  01  0.00687395  0.0998011
1982  02  -0.259137  0.109022
1982  03  -0.890517  0.54691
1982  04  -0.71305  0.762327
1982  05  -0.424127  1.03741
1982  06  0.032797  0.922697
1982  07  0.458129  0.310374
1982  08  0.890171  0.504275
1982  09  1.48882  0.751915
1982  10  1.70368  1.31875
1982  11  2.61581  0.937595
1982  12  3.0341  0.9911
1983  01  2.83218  1.16276
1983  02  2.15271  1.09177
1983  03  2.08573  0.654867
1983  04  2.66901  -0.110497
1983  05  3.1105  -0.167798
1983  06  3.51127  -0.781482
1983  07  3.1646  -1.28017
1983  08  2.63133  -1.45367
1983  09  1.61137  -1.60098
1983  10  1.10436  -1.7688
1983  11  0.616652  -1.8399
1983  12  0.339715  -1.35073
1984  01  0.0705748  -0.872888
1984  02  -0.175516  -0.325158
1984  03  0.166755  -0.64996
1984  04  0.375566  -0.993682
1984  05  -0.459388  -0.830013
1984  06  -0.704009  -0.760542
1984  07  -0.444083  -0.566657
1984  08  -0.204327  -0.56908
1984  09  -0.106217  -0.699286
1984  10  -0.400362  -0.894552
1984  11  -0.0343982  -1.48477
1984  12  -0.270713  -1.65835
1985  01  -0.646148  -1.20236
1985  02  -0.838161  -0.57281
1985  03  -0.447955  -0.962708
1985  04  -0.695044  -0.962449
1985  05  -0.933905  -0.892391
1985  06  -0.745636  -0.904249
1985  07  -1.14141  -0.500239
1985  08  -1.23062  -0.399614
1985  09  -1.0647  -0.516956
1985  10  -1.04668  -0.352667
1985  11  -1.09434  -0.169974
1985  12  -0.89131  -0.314376
1986  01  -0.636421  -0.417112
1986  02  -0.288394  -0.315298
1986  03  -0.618936  -0.0152415
1986  04  -0.57899  -0.00324883
1986  05  -0.910017  -0.0561711
1986  06  -0.998754  0.28614
1986  07  -0.348113  0.234337
1986  08  -0.26117  0.453618
1986  09  -0.223125  0.79558
1986  10  -0.106255  0.962838
1986  11  0.0267661  1.18971
1986  12  0.43326  0.930797
1987  01  0.630203  0.958325
1987  02  0.554002  1.24256
1987  03  0.878391  1.07482
1987  04  1.0432  0.642997
1987  05  1.27918  0.451425
1987  06  0.675312  0.911181
1987  07  0.906614  1.01903
1987  08  0.834881  1.31104
1987  09  1.04461  1.36419
1987  10  0.834467  1.25868
1987  11  0.597085  1.2672
1987  12  0.543462  1.0553
1988  01  0.0412117  1.20978
1988  02  -0.475157  0.687885
1988  03  -0.611753  0.534036
1988  04  -0.690508  0.0417038
1988  05  -1.03435  -0.659397
1988  06  -1.36759  -1.27065
1988  07  -1.36078  -1.45059
1988  08  -1.28207  -1.06442
1988  09  -0.89742  -1.20649
1988  10  -0.521952  -2.44115
1988  11  -0.286322  -2.61111
1988  12  -0.336535  -2.62699
1989  01  0.229581  -2.74612
1989  02  0.430683  -2.2952
1989  03  -0.093608  -1.6487
1989  04  0.0842327  -1.35153
1989  05  -0.599964  -0.729794
1989  06  -0.162168  -0.729897
1989  07  -0.294837  -0.773286
1989  08  -0.0583237  -0.972357
1989  09  -0.405949  -0.569572
1989  10  -0.395031  -0.660647
1989  11  -0.314864  -0.637803
1989  12  -0.621637  0.0473481
1990  01  -0.710968  0.400602
1990  02  -0.262181  0.575333
1990  03  -0.691725  0.602734
1990  04  -0.487396  0.525121
1990  05  -0.203162  0.330632
1990  06  -0.323615  0.213422
1990  07  -0.527238  0.506586
1990  08  -0.468501  0.58966
1990  09  -0.627056  0.590492
1990  10  -1.04246  0.851637
1990  11  -1.0636  0.880954
1990  12  -1.12531  1.14927
1991  01  -1.06041  1.366
1991  02  -0.909901  1.11245
1991  03  -0.626348  0.71977
1991  04  -0.693022  0.96045
1991  05  -0.323596  1.01597
1991  06  0.0849024  0.999193
1991  07  0.333008  1.0119
1991  08  -0.0983669  0.98757
1991  09  -0.113124  0.802658
1991  10  -0.0306328  1.13361
1991  11  0.126208  1.37257
1991  12  0.130143  1.65726
1992  01  0.288069  1.65282
1992  02  0.225563  1.67168
1992  03  0.561708  1.33093
1992  04  1.21441  0.972
1992  05  1.25026  0.879348
1992  06  0.447205  0.767306
1992  07  -0.499148  0.816986
1992  08  -0.443035  0.474768
1992  09  -0.28678  0.154893
1992  10  -0.423109  -0.0185149
1992  11  -0.443337  0.170176
1992  12  -0.691075  0.471673
1993  01  -0.398575  0.895793
1993  02  0.274242  0.662951
1993  03  0.345092  0.503867
1993  04  0.897849  0.558264
1993  05  1.14846  0.519931
1993  06  0.663056  0.245141
1993  07  0.384991  0.362212
1993  08  0.203951  0.341518
1993  09  -0.160569  0.595883
1993  10  0.240755  0.289383
1993  11  -0.0864402  0.393439
1993  12  -0.384599  0.594037
1994  01  -0.260831  0.562268
1994  02  -0.395427  0.425126
1994  03  -0.968301  0.683138
1994  04  -1.27331  0.917733
1994  05  -0.871493  0.853965
1994  06  -0.832952  0.859879
1994  07  -1.25509  1.20615
1994  08  -1.49342  1.39743
1994  09  -0.917376  1.14491
1994  10  0.0320705  1.16766
1994  11  0.0760902  1.52983
1994  12  0.0713395  1.53841
1995  01  0.181896  1.3236
1995  02  -0.45324  1.46476
1995  03  -0.978032  1.44566
1995  04  -1.53315  1.34704
1995  05  -1.49676  0.863349
1995  06  -0.931898  0.66698
1995  07  -0.583409  0.355716
1995  08  -0.984546  -0.0650429
1995  09  -0.866905  -0.405998
1995  10  -0.752928  -0.559997
1995  11  -0.535734  -0.821913
1995  12  -0.80605  -0.673326
1996  01  -0.609428  -0.588809
1996  02  -0.359708  -0.72374
1996  03  -0.187172  -0.53553
1996  04  -1.14208  -0.104701
1996  05  -1.00064  -0.0944521
1996  06  -0.977574  -0.0146131
1996  07  -0.813403  -0.192325
1996  08  -0.701681  -0.129917
1996  09  -0.455647  -0.401392
1996  10  -0.702304  -0.236081
1996  11  -1.00115  -0.020463
1996  12  -1.47652  -0.0694379
1997  01  -1.33329  0.118174
1997  02  -0.911453  0.2548
1997  03  -0.225537  0.301573
1997  04  -0.159651  0.743132
1997  05  1.03123  0.706001
1997  06  2.24133  0.426192
1997  07  2.87095  0.624761
1997  08  3.35874  0.661648
1997  09  3.31524  0.990242
1997  10  3.35888  1.0993
1997  11  3.7815  0.980932
1997  12  3.94638  0.783694
1998  01  3.42134  1.08575
1998  02  2.81411  0.905601
1998  03  2.61549  0.43741
1998  04  2.75601  -0.182111
1998  05  2.69175  -0.513514
1998  06  2.19521  -1.24981
1998  07  1.66662  -1.57368
1998  08  1.47206  -1.84035
1998  09  0.845103  -1.99716
1998  10  0.770011  -2.31146
1998  11  0.702564  -2.17237
1998  12  0.621408  -2.42795
1999  01  0.407903  -2.476
1999  02  0.462793  -2.06947
1999  03  0.90334  -1.91022
1999  04  -0.0955484  -1.27878
1999  05  -0.0825054  -1.22998
1999  06  -0.188277  -1.31378
1999  07  -0.0231078  -1.45341
1999  08  0.0796029  -1.6206
1999  09  -0.483367  -1.4034
1999  10  -0.518906  -1.52918
1999  11  -0.501485  -1.93361
1999  12  -0.253149  -2.26614
2000  01  -0.440068  -2.10093
2000  02  0.0711766  -2.19
2000  03  0.454627  -1.94307
2000  04  0.987381  -1.83281
2000  05  0.621939  -1.64832
2000  06  -0.000957435  -1.12723
2000  07  -0.442336  -0.605908
2000  08  -0.583194  -0.529534
2000  09  -0.0892574  -0.693197
2000  10  -0.0137175  -0.985315
2000  11  -0.526509  -0.971747
2000  12  -0.0715921  -1.32989
2001  01  0.283657  -1.28674
2001  02  0.689318  -1.26154
2001  03  0.966859  -1.20692
2001  04  0.694719  -0.967805
2001  05  0.0359057  -0.382813
2001  06  -0.29363  -0.0335313
2001  07  -0.588463  0.375222
2001  08  -0.796  0.50027
2001  09  -1.28218  0.503777
2001  10  -1.20388  0.455649
2001  11  -1.35508  0.35881
2001  12  -1.13738  0.158787
2002  01  -1.06702  0.541636
2002  02  -0.584614  0.491008
2002  03  0.367036  0.200863
2002  04  0.0427749  0.419329
2002  05  0.0745447  0.783325
2002  06  -0.0334253  1.02906
2002  07  -0.377099  1.12088
2002  08  -0.197553  0.987909
2002  09  0.10656  0.938185
2002  10  0.30832  1.05706
2002  11  0.594384  1.31166
2002  12  0.550481  1.4289
2003  01  0.165533  1.29488
2003  02  -0.191241  1.22735
2003  03  -0.182994  0.955487
2003  04  -0.644808  0.513282
2003  05  -1.23373  0.201512
2003  06  -0.990055  0.418197
2003  07  -0.354136  0.655593
2003  08  0.0572045  0.537698
2003  09  -0.286858  0.486025
2003  10  0.183583  0.578872
2003  11  0.4656  0.416636
2003  12  0.457824  0.438022
2004  01  0.295466  0.474784
2004  02  0.177732  0.453936
2004  03  -0.0892575  0.25905
2004  04  -0.220167  0.313018
2004  05  -0.955907  0.587145
2004  06  -0.712118  0.662848
2004  07  -0.80866  1.00638
2004  08  -0.764679  1.25815
2004  09  -0.575724  1.2613
2004  10  -0.179249  1.16697
2004  11  0.354707  0.874078
2004  12  0.0153259  1.06074
2005  01  -0.586272  1.43695
2005  02  -1.18972  1.24713
2005  03  -1.13363  1.09982
2005  04  -0.50601  0.776247
2005  05  -0.0919499  0.60119
2005  06  -0.2534  0.49686
2005  07  -0.0533615  0.186045
2005  08  -0.237129  0.275786
2005  09  -0.689527  0.26803
2005  10  -1.00171  0.312414
2005  11  -1.53498  -0.115259
2005  12  -1.16296  -0.604903
2006  01  -0.334298  -1.08389
2006  02  0.417144  -1.15136
2006  03  -0.00357892  -0.748528
2006  04  -0.705602  -0.0957283
2006  05  -0.296502  0.150279
2006  06  -0.268515  0.302633
2006  07  -0.0889275  0.322842
2006  08  0.322183  0.538841
2006  09  0.648499  0.559275
2006  10  0.767439  0.815552
2006  11  0.639704  1.2026
2006  12  0.939837  1.07045
2007  01  0.946739  0.612323
2007  02  0.26323  0.343016
2007  03  -0.634492  0.440189
2007  04  -0.83087  0.249372
2007  05  -1.21777  0.110965
2007  06  -0.999983  0.149199
2007  07  -0.752797  -0.136777
2007  08  -1.28977  -0.259932
2007  09  -0.943402  -0.802292
2007  10  -1.30906  -0.884294
2007  11  -1.36073  -1.11206
2007  12  -1.19762  -1.33209
2008  01  -0.0969053  -2.04662
2008  02  0.7078  -2.56918
2008  03  0.742621  -2.02576
2008  04  0.868566  -1.64093
2008  05  0.868921  -1.44541
2008  06  0.714913  -1.19374
2008  07  1.26756  -1.19721
2008  08  1.32069  -1.02186
2008  09  1.15415  -1.02104
2008  10  0.960625  -0.900892
2008  11  0.332081  -0.974561
2008  12  0.0937011  -1.26968
2009  01  0.277006  -1.4111
2009  02  0.179736  -1.04486
2009  03  -0.34878  -0.571917
2009  04  0.138797  -0.139499
2009  05  0.434085  0.154351
2009  06  0.659143  0.287469
2009  07  0.778581  0.30713
2009  08  0.543889  0.606327
2009  09  0.227395  0.896715
2009  10  -0.142811  1.49528
2009  11  -0.234124  2.03102
2009  12  -0.166414  2.23701
2010  01  -0.400543  2.21834
2010  02  -0.197201  1.77519
2010  03  -0.157169  1.39083
2010  04  0.0176679  0.94728
2010  05  0.0240106  0.166291
2010  06  -0.00046047  -0.649579
2010  07  -0.41371  -1.02978
2010  08  -0.610758  -1.53166
2010  09  -0.388124  -2.07099
2010  10  -0.433514  -2.19715
2010  11  -0.756922  -1.89261
2010  12  -0.41488  -1.89347
2011  01  -0.237785  -1.94901
2011  02  0.0824187  -1.59522
2011  03  -0.385623  -1.09992
2011  04  0.0263169  -0.762998
2011  05  0.0339384  -0.565895
2011  06  0.297004  -0.41884
2011  07  0.217779  -0.478281
2011  08  -0.0569319  -0.663935
2011  09  -0.304445  -1.01273
2011  10  -0.697599  -1.09625
2011  11  -0.392329  -1.44406
2011  12  -0.34872  -1.5835
2012  01  0.241753  -1.39815
2012  02  0.722567  -1.24087
2012  03  0.88383  -1.06165
2012  04  1.04485  -0.910491
2012  05  1.17061  -0.894561
2012  06  1.25346  -0.701331
2012  07  0.786371  -0.320537
2012  08  0.271169  0.169233
2012  09  0.00821455  0.631302
2012  10  -0.579523  0.794702
2012  11  -0.844776  0.813828
2012  12  -0.949848  -0.0677196
2013  01  -0.691707  -0.425643
2013  02  -0.291233  -0.589672
2013  03  0.0856249  -0.757486
2013  04  -0.484098  -0.0715734
2013  05  -1.00355  0.0485308
2013  06  -1.41546  0.0980898
2013  07  -1.18173  0.0569849
2013  08  -0.9389  -0.0913838
2013  09  -0.724389  -0.172042
2013  10  -0.551388  -0.00615987
2013  11  -0.187304  -0.312313
2013  12  -0.147511  -0.555938
2014  01  -0.0481585  -0.736134
2014  02  -0.677678  -0.285413
2014  03  -0.281558  -0.0918023
2014  04  -0.268975  0.331723
2014  05  0.395094  0.331632
2014  06  0.943437  -0.0759836
2014  07  0.899261  -0.102767
2014  08  0.455236  0.013098
2014  09  0.212225  0.277858
2014  10  0.319677  0.580111
2014  11  0.3556  0.975787
2014  12  0.270164  0.845839
2015  01  -0.0775596  1.04708
2015  02  -0.691627  1.29436
2015  03  -0.463624  1.24363
2015  04  -0.0485139  1.51213
2015  05  0.53837  1.23161
2015  06  1.17392  1.05571
2015  07  1.60315  1.12605
2015  08  1.41399  1.48987
2015  09  1.76094  1.5284
2015  10  1.75795  1.95766
2015  11  1.91098  2.31394
2015  12  2.00838  2.01266
2016  01  1.87391  1.92528
2016  02  1.17767  1.95446
2016  03  0.941443  1.5373
2016  04  0.510946  1.20614
2016  05  0.335757  0.523793
2016  06  0.346233  -0.0660834
2016  07  0.191661  -0.570115
2016  08  0.0643768  -0.661914
2016  09  0.365595  -0.981971
2016  10  0.327104  -1.28588
2016  11  0.544928  -1.3947
2016  12  0.658588  -1.26882
2017  01  0.442711  -0.787091
2017  02  0.791094  -0.695659
2017  03  1.18567  -0.836942
2017  04  0.965936  0.054584
2017  05  0.371255  0.409301
2017  06  -0.125374  0.321282
2017  07  -0.30411  -0.116653
2017  08  -0.442113  -0.421453
2017  09  -0.767789  -0.6454
2017  10  -1.21503  -0.0687764
2017  11  -0.941312  -0.654429
2017  12  -0.978599  -1.24638
2018  01  -1.03559  -1.17979
2018  02  -0.910762  -0.983954
2018  03  -1.06568  -0.534994
2018  04  -0.601027  -0.0406955
2018  05  -0.478943  0.342775
2018  06  -0.786303  0.679371
2018  07  -0.319522  0.178707
2018  08  -0.657572  0.787843
2018  09  -0.485218  0.997401
2018  10  -0.146258  1.47254
2018  11  -0.0780976  1.57555
2018  12  0.621408  1.13035
2019  01  0.541105  1.1119
2019  02  -0.367639  1.25431
2019  03  -0.231057  1.28337
2019  04  0.289602  1.08547
2019  05  0.258217  0.718408
2019  06  -0.0783935  0.76906
2019  07  -1.07123  1.23922
2019  08  -1.46229  1.56082
2019  09  -1.25391  1.65479
